1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
86,"לא רק מניעים אלטרואיסטיים מעוררים איפוא ב איובה התנגדות ל מלחמות , אלא גם מניעים תועלתניים .","לא רק מניעים אלטרואיסטיים מעוררים איפוא ב איובה התנגדות ל מלחמות , אלא גם מניעים תועלתניים .",86
87,כאן אין אוהבים ביותר את ה רעיון של מלחמה ב ה_ מפרץ ה פרסי .,כאן אין אוהבים ביותר את ה רעיון של מלחמה ב ה מפרץ ה פרסי .,87
88,"יום אחד ב ה_ שבוע ש עבר מרח ה עיתון ה מקומי "" דה מוין רגיסטר "" כותרת ענקית ל רוחב מלוא ה עמוד ה ראשון של מוספו ה יומי .","יום אחד ב ה שבוע ש עבר מרח ה עיתון ה מקומי "" דה מוין רגיסטר "" כותרת ענקית ל רוחב מלוא ה עמוד ה ראשון של מוספו ה יומי .",88
89,""" , אמרה ה כותרת ב אנגלית , "" שלום עכשיו "" .",""" , אמרה ה כותרת ב אנגלית , "" שלום עכשיו "" .",89
90,לצד ה אותיות ה אדומות הציב ה עיתון את סמל תנועת ה התנגדות ל מלחמת וייטנאם .,לצד ה אותיות ה אדומות הציב ה עיתון את סמל תנועת ה התנגדות ל מלחמת וייטנאם .,90
91,ב יום אחר פירסם ה עיתון ב עמוד מאמרי ה מערכת שלו קריקטורה מקפיאת דם .,ב יום אחר פירסם ה עיתון ב עמוד מאמרי ה מערכת של הוא קריקטורה מקפיאת דם .,91
92,"נראה בה מלאך ה מוות חבוש כאפייה , ומפיו בוקעות ה מלים : "" קרא את שפתיי , גורג לא תהיה עוד וייטנאם "" .","נראה ב היא מלאך ה מוות חבוש כאפייה , ו מ פיו בוקעות ה מלים : "" קרא את שפתיי , גורג לא תהיה עוד וייטנאם "" .",92
93,""" גורג "" הוא כמובן גורג בוש .",""" גורג "" הוא כמובן גורג בוש .",93
94,""" קרא את שפתיי ... "" היא פאראפראזה על סיסמת ה בחירות ה כוזבת של ה נשיא מ 8891 , "" קראו את שפתיי לא יהיו מסים חדשים "" .",""" קרא את שפתיי ... "" היא פאראפראזה על סיסמת ה בחירות ה כוזבת של ה נשיא מ 8891 , "" קראו את שפתיי לא יהיו מסים חדשים "" .",94
95,"ב מהלך נשף התרמה ל טום הארקין , ה סנאטור ה דמוקרטי ש העמיד את עצמו השבוע ל בחירה חוזרת , הסביר לי ב אריכות אחד ה נוכחים כיצד יכולה ארה""ב ליישב את סכסוך ה מפרץ ה פרסי , "" אם רק תביא את ה עניין לפני בית ה משפט ה בין - לאומי "" ב האג .","ב מהלך נשף התרמה ל טום הארקין , ה סנאטור ה דמוקרטי ש העמיד את עצמו השבוע ל בחירה חוזרת , הסביר ל אני ב אריכות אחד ה נוכחים כיצד יכולה ארה""ב ליישב את סכסוך ה מפרץ ה פרסי , "" אם רק תביא את ה עניין לפני בית ה משפט ה בין - לאומי "" ב האג .",95
96,התבוננתי ב בן שיחי ב הפתעה ניכרת .,התבוננתי ב בן שיחי ב הפתעה ניכרת .,96
97,"טיעונים כ ה_ אלה , ש פעם היו מקובלים בין ליברלים ב ארה""ב , לא שמעתי כבר הרבה זמן .","טיעונים כ ה אלה , ש פעם היו מקובלים בין ליברלים ב ארה""ב , לא שמעתי כבר הרבה זמן .",97
98,"ב מעמקי ה מערב ה תיכון של ארה""ב קל להאמין ש ה עולם נברא ב צלם אמריקה , ש הוא מלא אנשים הגיוניים ו פרגמטיים , ו ש ה אותוריטה ה מוסרית של מוסד ש איש , כולל ארה""ב , מעולם לא לקח ב רצינות תעשה רושם מיידי על סדאם חוסיין .","ב מעמקי ה מערב ה תיכון של ארה""ב קל להאמין ש ה עולם נברא ב צלם אמריקה , ש הוא מלא אנשים הגיוניים ו פרגמטיים , ו ש ה אותוריטה ה מוסרית של מוסד ש איש , כולל ארה""ב , מעולם לא לקח ב רצינות תעשה רושם מיידי על סדאם חוסיין .",98
99,ה משבר ב ה_ מפרץ ה פרסי לא היה נושא בחירות מרכזי ב איובה .,ה משבר ב ה מפרץ ה פרסי לא היה נושא בחירות מרכזי ב איובה .,99
100,"טום הארקין ה ליברלי , ויריבו ה רפובליקאי ה שמרן טום טקי , אמנם לא יכלו להסכים על שום עניין , אבל נטו להסכים על ה מפרץ ה פרסי .","טום הארקין ה ליברלי , ו יריבו ה רפובליקאי ה שמרן טום טקי , אמנם לא יכלו להסכים על שום עניין , אבל נטו להסכים על ה מפרץ ה פרסי .",100
101,"שניהם תומכים ב ה_ נשיא , ו שניהם מאמינים ב ה_ צורך ב זהירות .","שניהם תומכים ב ה נשיא , ו שניהם מאמינים ב ה צורך ב זהירות .",101
102,"ב ימי ה מלחמה ה קרה היה טוקי אנטי - קומוניסט נלהב , ו הארקין היה יונה נלהבת .","ב ימי ה מלחמה ה קרה היה טוקי אנטי - קומוניסט נלהב , ו הארקין היה יונה נלהבת .",102
103,"טוקי תמך ב כל סעיף הוצאות צבאיות אפשרי , ו חייב את ה מאבק ל הפלת ממשלת ניקרגואה ; הארקין רצה קיצוצים ניכרים ב תקציב ה ביטחון , ו עמד ב ראש ה מאבק ב ה_ סנאט נגד ה סיוע ל ה_ קונטראס .","טוקי תמך ב כל סעיף הוצאות צבאיות אפשרי , ו חייב את ה מאבק ל הפלת ממשלת ניקרגואה ; הארקין רצה קיצוצים ניכרים ב תקציב ה ביטחון , ו עמד ב ראש ה מאבק ב ה סנאט נגד ה סיוע ל ה קונטראס .",103
104,"ב ה_ מפרץ ה פרסי שניהם נצים יוניים , או יונים נציות , ב מידה כמעט שווה .","ב ה מפרץ ה פרסי שניהם נצים יוניים , או יונים נציות , ב מידה כמעט שווה .",104
105,"ב העדר קומוניזם יש פרגמטיזם ו אל פני ה שטח חוזרת גם מידה הגונה של בדלנות אינסטינקטיווית , אפיון היסטורי של מדינות ה מערב ה תיכון ה אמריקאי .","ב העדר קומוניזם יש פרגמטיזם ו אל פני ה שטח חוזרת גם מידה הגונה של בדלנות אינסטינקטיווית , אפיון היסטורי של מדינות ה מערב ה תיכון ה אמריקאי .",105
106,"ב מהלך מערכת ה בחירות הקרין מטהו של טוקי תשדיר טלוויזיה , ש אחד מסעיפיו היה התנגדות ל סיוע חוץ .","ב מהלך מערכת ה בחירות הקרין מטהו של טוקי תשדיר טלוויזיה , ש אחד מ סעיפיו היה התנגדות ל סיוע חוץ .",106
107,"ב עיני ה שדולה ה פרו - ישראלית ב וואשינגטון , התנגדות ל סיוע חוץ מעמידה את ה מתנגד מ חוץ ל ה_ מחנה גם אם אינה מוסבת ספציפית על ישראל .","ב עיני ה שדולה ה פרו - ישראלית ב וואשינגטון , התנגדות ל סיוע חוץ מעמידה את ה מתנגד מ חוץ ל ה מחנה גם אם אינה מוסבת ספציפית על ישראל .",107
108,"פעילים פרו - ישראליים עודדו מאז ו מעולם יהודים לתרום כספים ל מועמדים , ה נאבקים נגד מתנגדי סיוע ה חוץ .","פעילים פרו - ישראליים עודדו מאז ו מעולם יהודים לתרום כספים ל מועמדים , ה נאבקים נגד מתנגדי סיוע ה חוץ .",108
109,"ממילא , טום הארקין , תומך עקיב ב סיוע ה חוץ , היה אחד ה מקבלים ה גדולים ביותר של תרומות יהודיות ב שש ה שנים ה אחרונות .","ממילא , טום הארקין , תומך עקיב ב סיוע ה חוץ , היה אחד ה מקבלים ה גדולים ביותר של תרומות יהודיות ב שש ה שנים ה אחרונות .",109
110,"לפי מקור יהודי ב איובה , הארקין קיבל 002 אלף דולר מ וועדי פעולה פוליטיים פרו - ישראליים ב כל רחבי ארה""ב .","לפי מקור יהודי ב איובה , הארקין קיבל 002 אלף דולר מ וועדי פעולה פוליטיים פרו - ישראליים ב כל רחבי ארה""ב .",110
111,טוקי קיבל רק 52 אלף .,טוקי קיבל רק 52 אלף .,111
112,"ב 48 תיאר מנכ""ל אייפא""ק טום דאיין את הארקין כ אחד מ ששה או שבעה סנאטורים , ש נבחרו בזכות "" כסף יהודי "" .","ב 48 תיאר מנכ""ל אייפא""ק טום דאיין את הארקין כ אחד מ ששה או שבעה סנאטורים , ש נבחרו בזכות "" כסף יהודי "" .",112
113,"זו היתה התרברבות לא - דיסקרטית , ו אין ספק ש יימנע ממנה השנה .","זו היתה התרברבות לא - דיסקרטית , ו אין ספק ש יימנע ממן היא השנה .",113
114,"אף - על - פי - כן , שתדלנים פרו - ישראליים ב וואשינגטון חככו השבוע את ידיהם ב שביעות רצון ל משמע ה ידיעה , ש הארקין גבר על טוקי ב הפרש משכנע של 10 % .","אף - על - פי - כן , שתדלנים פרו - ישראליים ב וואשינגטון חככו השבוע את ידיהם ב שביעות רצון ל משמע ה ידיעה , ש הארקין גבר על טוקי ב הפרש משכנע של 10 % .",114
115,הוא ה סנאטור ה דמוקרטי ה ראשון ב תולדות איובה ה נבחר ל תקופת כהונה שנייה .,הוא ה סנאטור ה דמוקרטי ה ראשון ב תולדות איובה ה נבחר ל תקופת כהונה שנייה .,115
116,"הוא גם יודע , ש בלי תרומות מ חוץ ל גבולות מדינתו ה קטנה , יתקשה לאסוף די כסף ל ניהול מערכת ה בחירות ה טלוויזיונית ה יקרה , שבלעדיה אין פוליטיקאים אמריקאיים מסוגלים לנצח .","הוא גם יודע , ש בלי תרומות מ חוץ ל גבולות מדינתו ה קטנה , יתקשה לאסוף די כסף ל ניהול מערכת ה בחירות ה טלוויזיונית ה יקרה , ש בלעדי היא אין פוליטיקאים אמריקאיים מסוגלים לנצח .",116
117,"חזקה על הארקין , ש יצביע גם ב ה_ עתיד בעד חוק סיוע ה חוץ .","חזקה על הארקין , ש יצביע גם ב ה עתיד בעד חוק סיוע ה חוץ .",117
118,"מזכירות איגוד ה פועלים ה חקלאיים הציעה אתמול ש ה ממשלה תשלם מענק חודשי של 500 ש""ח , נוסף ל ה_ שכר ה רגיל , ל כל ישראלי ש יעבוד ב קטיף ה הדרים במשך שלושה חודשים לפחות .","מזכירות איגוד ה פועלים ה חקלאיים הציעה אתמול ש ה ממשלה תשלם מענק חודשי של 500 ש""ח , נוסף ל ה שכר ה רגיל , ל כל ישראלי ש יעבוד ב קטיף ה הדרים במשך שלושה חודשים לפחות .",118
119,"מזכיר איגוד ה פועלים ה חקלאיים , חיים אביבי , מסר ש ה הצעה הועלתה לנוכח ה מחסור ב עובדי קטיף ה מורגש כבר כעת ו יוחרף ב ה_ חודש ה בא , כש ה קטיף יהיה בעיצומו , בעיקר עקב היעדרות עובדים מ ה שטחים .","מזכיר איגוד ה פועלים ה חקלאיים , חיים אביבי , מסר ש ה הצעה הועלתה לנוכח ה מחסור ב עובדי קטיף ה מורגש כבר כעת ו יוחרף ב ה חודש ה בא , כש ה קטיף יהיה ב עיצומו , בעיקר עקב היעדרות עובדים מ ה שטחים .",119
